market_name,token_id,date_time,market_slug
"Bitcoin Up or Down - July 18, 12AM ET",10068022341972431247740398027756921049650236363874239579563065784810671263415,2025-07-18 00:00 EDT,bitcoin-up-or-down-july-18-12am-et
"Bitcoin Up or Down - July 18, 1AM ET",298901663967781571982154362098174066869699785516275622780223052601751027277,2025-07-18 01:00 EDT,bitcoin-up-or-down-july-18-1am-et
"Bitcoin Up or Down - July 18, 2AM ET",20313437645075934395716231697139712157485102971881766837737945108127242668583,2025-07-18 02:00 EDT,bitcoin-up-or-down-july-18-2am-et
"Bitcoin Up or Down - July 18, 3AM ET",114281639782061483842654537648953929565225349693375369289091960507264101975711,2025-07-18 03:00 EDT,bitcoin-up-or-down-july-18-3am-et
"Bitcoin Up or Down - July 18, 4AM ET",63353301566554683200072143898282553590504165342130765222982216423176651886455,2025-07-18 04:00 EDT,bitcoin-up-or-down-july-18-4am-et
"Bitcoin Up or Down - July 18, 5AM ET",23699369862304936277384616859592140880009106313642875265296469298703574550065,2025-07-18 05:00 EDT,bitcoin-up-or-down-july-18-5am-et
"Bitcoin Up or Down - July 18, 6AM ET",10197671803348693176985508195476023914302522557413420650897712986671991020703,2025-07-18 06:00 EDT,bitcoin-up-or-down-july-18-6am-et
"Bitcoin Up or Down - July 18, 7AM ET",28571887457922904931158548774819181314123447924146668752705271252545628943247,2025-07-18 07:00 EDT,bitcoin-up-or-down-july-18-7am-et
"Bitcoin Up or Down - July 18, 8AM ET",23456065567784177886487374097361892769858192080164096319398263486001571156456,2025-07-18 08:00 EDT,bitcoin-up-or-down-july-18-8am-et
"Bitcoin Up or Down - July 18, 9AM ET",52103830061506592384178962241668260134501009876783450612599117422666658249978,2025-07-18 09:00 EDT,bitcoin-up-or-down-july-18-9am-et
"Bitcoin Up or Down - July 18, 10AM ET",45848270468328531214690403076756304366415864033763192406025860878752282108913,2025-07-18 10:00 EDT,bitcoin-up-or-down-july-18-10am-et
"Bitcoin Up or Down - July 18, 11AM ET",79817639031794082928965443372945591737172744972039232059699235903637268088362,2025-07-18 11:00 EDT,bitcoin-up-or-down-july-18-11am-et
"Bitcoin Up or Down - July 18, 12PM ET",23815424467614819722536444387991102649361127876799384473689210623194415308003,2025-07-18 12:00 EDT,bitcoin-up-or-down-july-18-12pm-et
"Bitcoin Up or Down - July 18, 1PM ET",8387740971387067403951765751322585339791046387846159334718800559936233736115,2025-07-18 13:00 EDT,bitcoin-up-or-down-july-18-1pm-et
"Bitcoin Up or Down - July 18, 2PM ET",16921832438210104892680076349679228753334531746923520003636614078831954722687,2025-07-18 14:00 EDT,bitcoin-up-or-down-july-18-2pm-et
"Bitcoin Up or Down - July 18, 3PM ET",84752212312918119671513892784362064145144046710299841596706408596725468684062,2025-07-18 15:00 EDT,bitcoin-up-or-down-july-18-3pm-et
"Bitcoin Up or Down - July 18, 4PM ET",108386440118794454596937313126756362748639715377294153318810322931102993235295,2025-07-18 16:00 EDT,bitcoin-up-or-down-july-18-4pm-et
"Bitcoin Up or Down - July 18, 5PM ET",68227037393584170299490470543489558766063773662486346333571895939684036206656,2025-07-18 17:00 EDT,bitcoin-up-or-down-july-18-5pm-et
"Bitcoin Up or Down - July 18, 6PM ET",74086272994830502950780617916708136345314837923550678266754838701347103617064,2025-07-18 18:00 EDT,bitcoin-up-or-down-july-18-6pm-et
"Bitcoin Up or Down - July 18, 7PM ET",42222245709255158206616395209031239121423623143988822078799411882951727100112,2025-07-18 19:00 EDT,bitcoin-up-or-down-july-18-7pm-et
"Bitcoin Up or Down - July 18, 8PM ET",19091219148074806132411935621770680941068857799587254228990177520319027449397,2025-07-18 20:00 EDT,bitcoin-up-or-down-july-18-8pm-et
"Bitcoin Up or Down - July 18, 9PM ET",68925468015521901710439307055078134267597999096483317840400745151333974524186,2025-07-18 21:00 EDT,bitcoin-up-or-down-july-18-9pm-et
"Bitcoin Up or Down - July 18, 10PM ET",42587458446754257740910698448112419052139188255977150179762736955091948262628,2025-07-18 22:00 EDT,bitcoin-up-or-down-july-18-10pm-et
"Bitcoin Up or Down - July 18, 11PM ET",9768878700289125449593544024409220257500881552467772607879819431674140701835,2025-07-18 23:00 EDT,bitcoin-up-or-down-july-18-11pm-et
"Bitcoin Up or Down - July 19, 12AM ET",75717289119276334401065311839194764781103331552106077974161058895693725667046,2025-07-19 00:00 EDT,bitcoin-up-or-down-july-19-12am-et
