market_name,token_id_yes,token_id_no,date_time,market_slug,condition_id
"Ethereum Up or Down - July 18, 12AM ET",104318637788090470314423096221202955980739990984459830442943707478338064128179,53775822996010990728986430374263083778035609640070862159598878442399192053873,2025-07-18 00:00 EDT,ethereum-up-or-down-july-18-12am-et,0x96457494574065a2f0954e43399110d7ed543f0d47216bfe02941cc9c6090c56
"Ethereum Up or Down - July 18, 1AM ET",52749802075817030123646037189060674715310487605957671335117255947948959823233,4262678153670221629226616792530224123129623090666559591781618412227586441102,2025-07-18 01:00 EDT,ethereum-up-or-down-july-18-1am-et,0xb0bd9bdd1141b44d2f3240dcd0c42ecffdb225e2a9cb9f8be3a75739aa630516
"Ethereum Up or Down - July 18, 2AM ET",113892075836732748525232732995126349221564006137055364340117514647908478038415,47861172001190287673048576932103204006168536829971216686071228017764768338577,2025-07-18 02:00 EDT,ethereum-up-or-down-july-18-2am-et,0x46427bb5ec3e8d48c76af6ad263048e7ebd32dbb3424b2ca66416fc4ab6df794
"Ethereum Up or Down - July 18, 3AM ET",43958417413044518799976437647699531089185354514965290635474117688096978103109,105754181041695999313560318559298434209852084788753088864566014429456121881535,2025-07-18 03:00 EDT,ethereum-up-or-down-july-18-3am-et,0xd23e5db1ae944f24255b2ba30c96e34dfac93b12ab48dfdeffdee026b475d049
"Ethereum Up or Down - July 18, 4AM ET",36712553621125878061227777127609985701452752467222883968363962082140824979419,77327980982797416897735861571747889925481246712505453983153570323272956548382,2025-07-18 04:00 EDT,ethereum-up-or-down-july-18-4am-et,0x3439baa3d1935ab6e91298bc739fd787fe4e185f7429c2e9d0a56baf4517f121
"Ethereum Up or Down - July 18, 5AM ET",31493711858719611190139596977540214883545103384500695124748847216780062935792,52306619758976886801435383661217566574725611199954532281939246908315504156252,2025-07-18 05:00 EDT,ethereum-up-or-down-july-18-5am-et,0x27c3eeacfd2a209701674d23d3d774024073b85b95d7c64dcc24d40427bf80e7
"Ethereum Up or Down - July 18, 6AM ET",30470273835864440831947344267934702284217297406903281366054951806674029049181,8761198516529850774668909433620050608346819188530525966222557713756412085370,2025-07-18 06:00 EDT,ethereum-up-or-down-july-18-6am-et,0x16f747156dfab2668ac6064e4d5470d31f3776d6c240359da8d489a6096ba1bb
"Ethereum Up or Down - July 18, 7AM ET",66355529386315597996955197005685898752369876361070580534580223994216470956317,40025912184042346043701626197597532311482467584703588810164930411656544697478,2025-07-18 07:00 EDT,ethereum-up-or-down-july-18-7am-et,0xb1520aac2170e3a0a022a667a2c7eefc7075e3d97179de1d0b8c93b13d677a6d
"Ethereum Up or Down - July 18, 8AM ET",29328524764370319288329865462185835231214551720789952216350370596756163825294,56002268169665830922533118790170464734971365850005263818904193894869128446143,2025-07-18 08:00 EDT,ethereum-up-or-down-july-18-8am-et,0x6b4ab4c813879c85f8173541a5d5e16d8d648f8096dc62ec57ee033fac18c04f
"Ethereum Up or Down - July 18, 9AM ET",626720578901749255981778967040656714506978338350628947032432940990481819649,60619275623067553120759277758673316192871346874810323492674069048303348592339,2025-07-18 09:00 EDT,ethereum-up-or-down-july-18-9am-et,0x6f7f5f3094a62edda3410e8f3059700416eeecd7d9df186b20d130dcaf88bb8c
